Nume,CUI,NRC,Adresa,Adresa2,Cod_postal,Oras,Tara,Judet,Telefon
EXPERT PACK S.R.L.,RO32571633,J29/1933/2013,,,,CAMPINA,RO,PH,0755 044 987
SEFIRA S.R.L.,RO18166392,J32/1739/2005,,,,SIBIU,RO,SB,0269211738
MDM STANDARD SRL,RO11451006,J40/13069/1998,,,,BUCURESTI ,RO,B,0766267650
SPRINTER 2000 SA,RO6620460,J08/3263/1994,,,,BRASOV,RO,BV,0268472333
B.V.B. RECRUIT FINDER SRL,RO34982830,J08/1480/2015,,,,BRASOV,RO,BV,
RIVANING S.R.L.,44112723,,,,,AZUGA,RO,,
EURO IDEAL MOTORS S.R.L.,RO39151734,J08/764/2018,,,,BUCURESTI ,RO,B,
ROMAER PRO SRL,RO32591886,J24/623/2014,,,,MOCIRA,RO,MM,0760260195
APRIL91 SRL,RO1107472,J08/726/1991,,,,BRASOV,RO,BV,0268549910
DYNAMIC PARCEL DISTRIBUTION SA,RO9566918,J23/409/2010,,,,MOGOSOAIA ,RO,IF,0792108508
DAROX EXPEDITII S.R.L.,RO22647874,"J40/20196/2007"",",,,,BUCURESTI ,RO,B,
OTP BANK ROMANIA SA,RO7926069,J40/10296/1995,,,,BUCURESTI ,RO,B,
STRATEGIC DISTRIBUTION GROUP S.R.L.,RO22079081,J40/13171/2007,,,,BUCURESTI ,RO,B,0723230478
ICEBERG S.R.L.,RO18166333,J32/1737/2005,,,,SIBIU,RO,SB,0369807766
ROUMASPORT SRL,RO23727785,J40/6890/2008,,,,BUCURESTI ,RO,B,
HERA ROVANIEMI SRL,RO30913411,,,,,BUCURESTI ,RO,B,
LORIMAX 2000 IMPEX S.R.L.,RO11628834,J04/217/1999,,,,BACAU,RO,BC,0744503637
PROFLEX BV S.R.L.,RO22918434,J26/2206/2007,,,,SOLOVASTRU,RO,MS,02684421
VIDA XL EUROPE B.V.,RO36918744,,,,,,RO,,
EVEREST ROPACK SRL,RO6502987,J29/1063/2000,,,,AZUGA,RO,PH,0244326368
CASA IDEEA GROUP SRL,RO34647088,J13/1260/2015,,,,CONSTANTA,RO,CT,0722615702
BICOR IMPEX SRL,RO2739370,J08/3604/1992,,,,BRASOV,RO,BV,0723557819
MAN EXC CONSULTING SRL,RO35241974,J40/14108/2015,,,,BUCURESTI ,RO,B,
SURUB SHOP SRL,RO30965810,J08/1877/2012,,,,BRASOV,RO,BV,0740750020
SWEP INTERNATIONAL AB,SE556287539201,,LANDSKRONE,,,LANDSKRONE,SE,,
EVINOX ENERGY LTD,GB133009261,,"LEATHERHEAD ROAD , CHESSINGTON  SURREY",,,CHESSINGTON,GB,,
AR-CO SPRINT S.R.L.,RO22367734,J40/5732/2019, STR. SPLAIUL INDEPENDENTEI  NR.202 CAMERA C10B2,Sector 6,,BUCURESTI,RO,B,
IMPULS - LEASING ROMANIA IFN S.A.,RO19820923,J40/20831/2006, STR. LUIGI GALVANI  NR.61-63,Sector 2,,BUCURESTI,RO,B,
