Nume_inventory,Product_ID,Depozit,Cantitatea
153i,E_200015,WH/PRODUCTIE MAT PRIME FINITE,71
154i,E_200218,WH/PRODUCTIE MAT PRIME FINITE,19
155i,E_200019,WH/PRODUCTIE MAT PRIME FINITE,44
156i,E_200091,WH/PRODUCTIE MAT PRIME FINITE,2000
157i,E_200092,WH/PRODUCTIE MAT PRIME FINITE,1000
158i,E_200090,WH/PRODUCTIE MAT PRIME FINITE,1000
159i,E_200133,WH/PRODUCTIE MAT PRIME FINITE,2000
160i,E_200317,WH/PRODUCTIE MAT PRIME FINITE,1060
161i,E_200097,WH/PRODUCTIE MAT PRIME FINITE,100
162i,E_200194,WH/PRODUCTIE MAT PRIME FINITE,250
163i,E_200195,WH/PRODUCTIE MAT PRIME FINITE,100
164i,E_200098,WH/PRODUCTIE MAT PRIME FINITE,500
165i,E_200093,WH/PRODUCTIE MAT PRIME FINITE,250
166i,E_200096,WH/PRODUCTIE MAT PRIME FINITE,500
167i,E_200094,WH/PRODUCTIE MAT PRIME FINITE,200
168i,E_200095,WH/PRODUCTIE MAT PRIME FINITE,200
169i,E_200318,WH/PRODUCTIE MAT PRIME FINITE,1
170i,E_200253,WH/PRODUCTIE MAT PRIME FINITE,150
171i,EVI_00396,WH/PRODUCTIE MAT PRIME FINITE,1000
172i,E_200280,WH/PRODUCTIE MAT PRIME FINITE,2
173i,E_200325,WH/PRODUCTIE MAT PRIME FINITE,50
174i,E_200303,WH/PRODUCTIE MAT PRIME FINITE,6
175i,E_200222,WH/PRODUCTIE MAT PRIME FINITE,110
176i,E_00017,WH/PRODUCTIE MAT PRIME FINITE,165
177i,E_200017,WH/PRODUCTIE MAT PRIME FINITE,75
178i,E_200018,WH/PRODUCTIE MAT PRIME FINITE,125
179i,E_200183,WH/PRODUCTIE MAT PRIME FINITE,93
180i,E_200190,WH/PRODUCTIE MAT PRIME FINITE,3
181i,E_200196,WH/PRODUCTIE MAT PRIME FINITE,250
182i,E_200102,WH/PRODUCTIE MAT PRIME FINITE,50
183i,E_200321,WH/PRODUCTIE MAT PRIME FINITE,150
184i,E_200078,WH/PRODUCTIE MAT PRIME FINITE,5.03
185i,E_200146,WH/PRODUCTIE MAT PRIME FINITE,2
186i,E_200147,WH/PRODUCTIE MAT PRIME FINITE,0.249
187i,E_200198,WH/PRODUCTIE MAT PRIME FINITE,500
188i,E_200103,WH/PRODUCTIE MAT PRIME FINITE,2000
189i,E_200105,WH/PRODUCTIE MAT PRIME FINITE,500
190i,E_200142,WH/PRODUCTIE MAT PRIME FINITE,16
191i,E_200004,WH/PRODUCTIE MAT PRIME FINITE,23
192i,E_200005,WH/PRODUCTIE MAT PRIME FINITE,41
193i,E_200006,WH/PRODUCTIE MAT PRIME FINITE,47
194i,E_00570,WH/PRODUCTIE MAT PRIME FINITE,50
195i,E_200013,WH/PRODUCTIE MAT PRIME FINITE,20
196i,Maux_20038,WH/PRODUCTIE MAT PRIME FINITE,20
197i,E_200282,WH/PRODUCTIE MAT PRIME FINITE,8
198i,EVI_00116,WH/PRODUCTIE MAT PRIME FINITE,500
199i,EVI_00074,WH/PRODUCTIE MAT PRIME FINITE,1180
200i,EVI_00073,WH/PRODUCTIE MAT PRIME FINITE,713
201i,EVI_00239,WH/PRODUCTIE MAT PRIME FINITE,160
202i,Evi_00498,WH/PRODUCTIE MAT PRIME FINITE,5
203i,EVI_00232,WH/PRODUCTIE MAT PRIME FINITE,150
204i,EVI_00264,WH/PRODUCTIE MAT PRIME FINITE,500
205i,EVI_00246,WH/PRODUCTIE MAT PRIME FINITE,320
206i,EVI_00063,WH/PRODUCTIE MAT PRIME FINITE,616
207i,EVI_00064,WH/PRODUCTIE MAT PRIME FINITE,152
208i,EVI_00167,WH/PRODUCTIE MAT PRIME FINITE,16
209i,EVI_00377,WH/PRODUCTIE MAT PRIME FINITE,5
210i,EVI_00251,WH/PRODUCTIE MAT PRIME FINITE,36
211i,EVI_00240,WH/PRODUCTIE MAT PRIME FINITE,27
212i,EVI_00329,WH/PRODUCTIE MAT PRIME FINITE,120
213i,EVI_00361,WH/PRODUCTIE MAT PRIME FINITE,15
214i,EVI_00254,WH/PRODUCTIE MAT PRIME FINITE,60
215i,EVI_00380,WH/PRODUCTIE MAT PRIME FINITE,9
216i,EVI_200010,WH/PRODUCTIE MAT PRIME FINITE,15
217i,EVI_00416,WH/PRODUCTIE MAT PRIME FINITE,100
218i,EVI_00390,WH/PRODUCTIE MAT PRIME FINITE,500
219i,EVI_00115,WH/PRODUCTIE MAT PRIME FINITE,500
220i,EVI_00057,WH/PRODUCTIE MAT PRIME FINITE,1000
221i,EVI_00029,WH/PRODUCTIE MAT PRIME FINITE,3000
222i,EVI_00030,WH/PRODUCTIE MAT PRIME FINITE,500
223i,EVI_00368,WH/PRODUCTIE MAT PRIME FINITE,10
224i,EVI_00385,WH/PRODUCTIE MAT PRIME FINITE,330
225i,EVI_00288,WH/PRODUCTIE MAT PRIME FINITE,64
226i,EVI_00042,WH/PRODUCTIE MAT PRIME FINITE,64
227i,PUC_ACTR,WH/PRODUCTIE MAT PRIME FINITE,19
228i,HIU_PUCTP3R-1R-TL7/1A,WH/PRODUCTIE MAT PRIME FINITE,16
229i,HIU_PUCTP7R-1R-TL7/A,WH/PRODUCTIE MAT PRIME FINITE,26
230i,EVI_00232,WH/ROMRADIATOARE CUSTODIE,100
231i,EVI_00246,WH/ROMRADIATOARE CUSTODIE,120
232i,EVI_00264,WH/ROMRADIATOARE CUSTODIE,150
233i,EVI_00291,WH/ROMRADIATOARE CUSTODIE,60
234i,E_00618,WH/AMBALAJE,18
235i,e_200188,WH/AMBALAJE,5
236i,E_200279,WH/AMBALAJE,30
237i,E_200002,WH/AMBALAJE,10
238i,Mpr_06964,WH/AMBALAJE,10
239i,E_200003,WH/AMBALAJE,10
240i,Maux_0001,WH/CONSUMABILE PIESE SCHIMB,2
241i,E_200252,WH/CONSUMABILE PIESE SCHIMB,50
242i,E_200250,WH/CONSUMABILE PIESE SCHIMB,12
